"workclass","education","marital_status","occupation","relationship","race","sex","income"
"State gov","Bachelors","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Handlers and cleaners","Husband","Black"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Wife","Black"," Female","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Wife","White"," Female","<= 50K USD"
"Private","9th","Married spouse absent","Other service","Not in family","Black"," Female","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Masters","Never married","Prof specialty","Not in family","White"," Female","> 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","Black"," Male","> 50K USD"
"State gov","Bachelors","Married to civilian","Prof specialty","Husband","Asian"," Male","> 50K USD"
"Private","Bachelors","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","Assoc acdm","Never married","Sales","Not in family","Black"," Male","<= 50K USD"
"Private","7th to 8th","Married to civilian","Transportation","Husband","Native American"," Male","<= 50K USD"
"Self emp not inc","HS grad","Never married","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Unmarried","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Masters","Divorced","Executive","Unmarried","White"," Female","> 50K USD"
"Private","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Separated","Other service","Unmarried","Black"," Female","<= 50K USD"
"Federal gov","9th","Married to civilian","Farming and fishing","Husband","Black"," Male","<= 50K USD"
"Private","11th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Tech support","Unmarried","White"," Female","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Executive","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Local gov","Assoc acdm","Never married","Protective service","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Own child","Black"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Executive","Own child","White"," Male","<= 50K USD"
"Federal gov","Some college","Married to civilian","Admin","Own child","White"," Male","<= 50K USD"
"State gov","Some college","Married to civilian","Other service","Husband","Black"," Male","<= 50K USD"
"Private","11th","Never married","Mechanic","Unmarried","White"," Male","<= 50K USD"
"Private","Some college","Never married","Mechanic","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to Armed Forces","Admin","Wife","White"," Female","<= 50K USD"
"Self emp not inc","Assoc acdm","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","9th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Tech support","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Separated","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Federal gov","Bachelors","Married to civilian","Prof specialty","Husband","Black"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Masters","Divorced","Executive","Unmarried","White"," Female","<= 50K USD"
