"native_country","variable","value"
"Cambodia","Preschool",0.0555555555555556
"Canada","Preschool",0
"China","Preschool",0.0294117647058824
"Columbia","Preschool",0
"Cuba","Preschool",0
"Dominican Republic","Preschool",0.0298507462686567
"Ecuador","Preschool",0
"El Salvador","Preschool",0.03
"England","Preschool",0
"France","Preschool",0
"Germany","Preschool",0
"Greece","Preschool",0
"Guatemala","Preschool",0.0158730158730159
"Haiti","Preschool",0
"Netherlands","Preschool",0
"Honduras","Preschool",0
"Hong Kong","Preschool",0.0526315789473684
"Hungary","Preschool",0
"India","Preschool",0.01
"Iran","Preschool",0
"Ireland","Preschool",0
"Italy","Preschool",0
"Jamaica","Preschool",0
"Japan","Preschool",0
"Laos","Preschool",0.0588235294117647
"Mexico","Preschool",0.0245901639344262
"Nicaragua","Preschool",0.0303030303030303
"Guam and USVI","Preschool",0
"Peru","Preschool",0
"Philippines","Preschool",0.00531914893617021
"Poland","Preschool",0
"Portugal","Preschool",0
"Puerto Rico","Preschool",0.00917431192660551
"Scotland","Preschool",0
"South Korea","Preschool",0
"Taiwan","Preschool",0
"Thailand","Preschool",0
"Trinadad&Tobago","Preschool",0
"United States","Preschool",0.000545375218150087
"Vietnam","Preschool",0
"Yugoslavia","Preschool",0
"Cambodia","1st to 4th",0.0555555555555556
"Canada","1st to 4th",0
"China","1st to 4th",0
"Columbia","1st to 4th",0.0178571428571429
"Cuba","1st to 4th",0.0326086956521739
"Dominican Republic","1st to 4th",0.0895522388059701
"Ecuador","1st to 4th",0.037037037037037
"El Salvador","1st to 4th",0.1
"England","1st to 4th",0.0116279069767442
"France","1st to 4th",0
"Germany","1st to 4th",0
"Greece","1st to 4th",0
"Guatemala","1st to 4th",0.142857142857143
"Haiti","1st to 4th",0.0238095238095238
"Netherlands","1st to 4th",0
"Honduras","1st to 4th",0.0833333333333333
"Hong Kong","1st to 4th",0
"Hungary","1st to 4th",0
"India","1st to 4th",0
"Iran","1st to 4th",0
"Ireland","1st to 4th",0
"Italy","1st to 4th",0.0588235294117647
"Jamaica","1st to 4th",0
"Japan","1st to 4th",0
"Laos","1st to 4th",0
"Mexico","1st to 4th",0.101639344262295
"Nicaragua","1st to 4th",0
"Guam and USVI","1st to 4th",0
"Peru","1st to 4th",0
"Philippines","1st to 4th",0
"Poland","1st to 4th",0.0178571428571429
"Portugal","1st to 4th",0.176470588235294
"Puerto Rico","1st to 4th",0.0275229357798165
"Scotland","1st to 4th",0
"South Korea","1st to 4th",0
"Taiwan","1st to 4th",0
"Thailand","1st to 4th",0
"Trinadad&Tobago","1st to 4th",0
"United States","1st to 4th",0.00141797556719023
"Vietnam","1st to 4th",0.03125
"Yugoslavia","1st to 4th",0
"Cambodia","5th to 6th",0
"Canada","5th to 6th",0.00934579439252336
"China","5th to 6th",0
"Columbia","5th to 6th",0.0357142857142857
"Cuba","5th to 6th",0.0434782608695652
"Dominican Republic","5th to 6th",0.0298507462686567
"Ecuador","5th to 6th",0
"El Salvador","5th to 6th",0.18
"England","5th to 6th",0.0116279069767442
"France","5th to 6th",0
"Germany","5th to 6th",0
"Greece","5th to 6th",0.0344827586206897
"Guatemala","5th to 6th",0.126984126984127
"Haiti","5th to 6th",0.0714285714285714
"Netherlands","5th to 6th",0
"Honduras","5th to 6th",0.0833333333333333
"Hong Kong","5th to 6th",0
"Hungary","5th to 6th",0
"India","5th to 6th",0
"Iran","5th to 6th",0
"Ireland","5th to 6th",0
"Italy","5th to 6th",0.147058823529412
"Jamaica","5th to 6th",0.0125
"Japan","5th to 6th",0
"Laos","5th to 6th",0.117647058823529
"Mexico","5th to 6th",0.226229508196721
"Nicaragua","5th to 6th",0.0606060606060606
"Guam and USVI","5th to 6th",0
"Peru","5th to 6th",0
"Philippines","5th to 6th",0.0372340425531915
"Poland","5th to 6th",0
"Portugal","5th to 6th",0
"Puerto Rico","5th to 6th",0.055045871559633
"Scotland","5th to 6th",0
"South Korea","5th to 6th",0
"Taiwan","5th to 6th",0
"Thailand","5th to 6th",0
"Trinadad&Tobago","5th to 6th",0.0555555555555556
"United States","5th to 6th",0.00283595113438045
"Vietnam","5th to 6th",0.03125
"Yugoslavia","5th to 6th",0
"Cambodia","7th to 8th",0.0555555555555556
"Canada","7th to 8th",0.0186915887850467
"China","7th to 8th",0.0588235294117647
"Columbia","7th to 8th",0.0178571428571429
"Cuba","7th to 8th",0.0652173913043478
"Dominican Republic","7th to 8th",0.134328358208955
"Ecuador","7th to 8th",0.037037037037037
"El Salvador","7th to 8th",0.04
"England","7th to 8th",0
"France","7th to 8th",0
"Germany","7th to 8th",0.015625
"Greece","7th to 8th",0.0689655172413793
"Guatemala","7th to 8th",0.126984126984127
"Haiti","7th to 8th",0.0238095238095238
"Netherlands","7th to 8th",0
"Honduras","7th to 8th",0
"Hong Kong","7th to 8th",0.0526315789473684
"Hungary","7th to 8th",0
"India","7th to 8th",0
"Iran","7th to 8th",0
"Ireland","7th to 8th",0
"Italy","7th to 8th",0.0588235294117647
"Jamaica","7th to 8th",0
"Japan","7th to 8th",0
"Laos","7th to 8th",0.0588235294117647
"Mexico","7th to 8th",0.080327868852459
"Nicaragua","7th to 8th",0.0303030303030303
"Guam and USVI","7th to 8th",0
